order_id,supplier_name,part_number,part_description,order_date,promised_date,actual_delivery_date,quantity,unit_price,po_amount
PO-2021-011,Precision Thermal Co,CTRL-9998,Touch Screen Controller,2021-10-01,2021-11-12,2021-11-12,293,1235.99,362145.07
PO-2021-011,TitanForge LLC,HX-5530,Heat Exchanger - Heavy Duty,2021-10-03,2021-11-02,2021-11-01,237,1760.78,417304.86
PO-2021-011,APEX MFG,DAMPER-3305,"Pneumatic Damper 36""",2021-10-06,2021-11-03,2021-11-02,52,260.1,13525.2
PO-2021-011,AeroFlow Systems,BEARING-9910,Sealed Bearing Assembly,2021-10-09,2021-11-17,2021-11-17,262,85.91,22508.42
PO-2021-011,Apex Mfg,BEARING-9905,Heavy Duty Bearing Set,2021-10-12,2021-11-19,2021-11-18,288,80.5,23184.0
PO-2021-011,QuickFab Industries,BRKT-1005,Heavy Duty Mount - Aluminum,2021-10-15,2021-11-25,2021-12-10,468,19.79,9261.72
PO-2021-011,TitanForge LLC,CTRL-9985,PLC Control Module,2021-10-18,2021-11-19,2021-11-19,108,424.83,45881.64
PO-2021-011,APEX MFG,CTRL-9985,PLC Control Module,2021-10-21,2021-11-22,2021-11-21,157,421.14,66118.98
PO-2021-011,Apex Mfg,PANEL-8820,Stainless Control Panel,2021-10-24,2021-11-25,2021-11-24,242,276.01,66794.42
PO-2021-011,APEX MFG,HX-5520,Aluminum Heat Exchanger - 60x36,2021-10-27,2021-12-07,2021-12-07,263,1077.64,283419.32
PO-2021-011,APEX MFG,CTRL-9995,VFD Controller 10HP,2021-10-30,2021-12-11,2021-12-09,239,891.67,213109.13
PO-2021-021,Apex Mfg,HX-5512,Aluminum Heat Exchanger - 48x24,2021-11-02,2021-11-18,2021-11-16,18,868.53,15633.54
PO-2021-021,APEX Manufacturing Inc,SENSOR-4410,Humidity Sensor Module,2021-11-05,2021-11-29,2021-11-27,45,34.64,1558.8
PO-2021-021,TitanForge LLC,HX-5512,Aluminum Heat Exchanger - 48x24,2021-11-07,2021-12-17,2021-12-17,20,838.34,16766.8
PO-2021-021,APEX MFG,SENSOR-4420,Flow Sensor - Digital,2021-11-10,2021-12-21,2021-12-19,239,42.7,10205.3
PO-2021-021,Apex Manufacturing Inc,MOTOR-6634,3HP Fan Motor Assembly,2021-11-13,2021-12-14,2021-12-20,136,443.64,60335.04
PO-2021-021,Precision Thermal Co,FILTER-5510,HEPA Filter - Industrial,2021-11-16,2021-12-08,2021-12-08,243,64.51,15675.93
PO-2021-021,Stellar Metalworks,PANEL-8801,Control Panel Enclosure,2021-11-19,2021-12-19,2021-12-17,96,275.6,26457.6
PO-2021-021,Apex Mfg,FINS-7715,Copper Fins for Heat Exchanger,2021-11-22,2021-12-20,2021-12-20,1035,13.36,13827.6
PO-2021-021,APEX MFG,MOTOR-6634,3HP Fan Motor Assembly,2021-11-25,2021-12-17,2021-12-17,65,447.14,29064.1
PO-2021-021,APEX MFG,SENSOR-4420,Flow Sensor - Digital,2021-11-28,2022-01-10,2022-01-09,93,40.62,3777.66
PO-2021-032,AeroFlow Systems,SENSOR-4410,Humidity Sensor Module,2021-12-01,2022-01-09,2022-01-08,48,32.75,1572.0
PO-2021-032,Precision Thermal Co,CTRL-9995,VFD Controller 10HP,2021-12-04,2022-01-14,2022-01-12,48,877.55,42122.4
PO-2021-032,AeroFlow Systems,HX-5515,Copper Heat Exchanger Coil,2021-12-07,2022-01-10,2022-01-10,201,2207.23,443653.23
PO-2021-032,Stellar Metalworks,SENSOR-4405,Temperature Sensor Probe,2021-12-10,2022-01-08,2022-01-06,257,34.15,8776.55
PO-2021-032,Apex Mfg,FINS-7725,Heat Exchanger Fins,2021-12-13,2021-12-31,2021-12-30,738,9.56,7055.28
PO-2021-032,APEX Manufacturing Inc,FILTER-5510,HEPA Filter - Industrial,2021-12-15,2022-01-09,2022-01-09,59,65.5,3864.5
PO-2021-032,APEX MFG,SHAFT-2210,Stainless Drive Shaft,2021-12-18,2022-01-21,2022-01-26,132,47.27,6239.64
PO-2021-032,Apex Manufacturing Inc,HX-5520,Aluminum Heat Exchanger - 60x36,2021-12-21,2022-02-02,2022-02-01,287,1114.11,319749.57
PO-2021-032,QuickFab Industries,SENSOR-4405,Temperature Sensor Probe,2021-12-24,2022-01-14,2022-01-12,34,22.8,775.2
PO-2021-032,QuickFab Industries,FAN-2847,"24"" Axial Cooling Fan",2021-12-27,2022-01-11,2022-01-29,115,215.29,24758.35
PO-2021-032,Stellar Metalworks,BRKT-1001,Mounting Bracket - Steel,2021-12-30,2022-01-23,2022-01-30,317,11.44,3626.48
PO-2022-042,APEX Manufacturing Inc,CTRL-9995,VFD Controller 10HP,2022-01-02,2022-01-25,2022-01-24,97,854.82,82917.54
PO-2022-042,Apex Mfg,HX-5525,Copper Heat Exchanger - Custom,2022-01-05,2022-01-28,2022-01-27,52,1962.4,102044.8
PO-2022-042,APEX MFG,HX-5535,Copper Coil Heat Exchanger,2022-01-08,2022-02-02,2022-02-01,242,2515.46,608741.32
PO-2022-042,APEX Manufacturing Inc,LOUVER-6615,"Weather Louver 72""",2022-01-11,2022-01-26,2022-01-26,185,222.5,41162.5
PO-2022-042,AeroFlow Systems,SENSOR-4415,Pressure Transducer,2022-01-14,2022-02-27,2022-02-26,283,62.33,17639.39
PO-2022-042,Apex Manufacturing Inc,HX-5530,Heat Exchanger - Heavy Duty,2022-01-17,2022-02-06,2022-02-04,168,1830.8,307574.4
PO-2022-042,Stellar Metalworks,BRKT-1001,Mounting Bracket - Steel,2022-01-20,2022-02-10,2022-02-10,195,11.37,2217.15
PO-2022-042,QuickFab Industries,BRKT-1015,Heavy Mount - Galvanized,2022-01-22,2022-03-01,2022-03-01,360,18.35,6606.0
PO-2022-042,APEX Manufacturing Inc,HX-5540,Aluminum Heat Exchanger,2022-01-25,2022-02-21,2022-02-21,251,1401.61,351804.11
PO-2022-042,TitanForge LLC,BRKT-1020,Vibration Isolator Mount,2022-01-28,2022-03-13,2022-03-12,205,26.8,5494.0
PO-2022-042,APEX MFG,CTRL-9990,Master Control Board,2022-01-31,2022-02-27,2022-02-26,163,667.32,108773.16
PO-2022-053,APEX Manufacturing Inc,DAMPER-3310,"Electric Damper 48""",2022-02-03,2022-03-18,2022-03-16,284,276.37,78489.08
PO-2022-053,APEX Manufacturing Inc,HX-5540,Aluminum Heat Exchanger,2022-02-06,2022-03-19,2022-03-19,172,1409.75,242477.0
PO-2022-053,APEX MFG,LOUVER-6601,"Aluminum Louver Panel 48""",2022-02-09,2022-03-25,2022-03-23,276,85.58,23620.08
PO-2022-053,Precision Thermal Co,MOTOR-6634,3HP Fan Motor Assembly,2022-02-12,2022-03-01,2022-03-01,138,445.28,61448.64
PO-2022-053,APEX MFG,HX-5535,Copper Coil Heat Exchanger,2022-02-15,2022-03-08,2022-03-10,252,2517.62,634440.24
PO-2022-053,APEX Manufacturing Inc,MOTOR-6634,3HP Fan Motor Assembly,2022-02-18,2022-03-19,2022-03-19,70,455.67,31896.9
PO-2022-053,Apex Manufacturing Inc,MOTOR-6641,7.5HP Fan Motor,2022-02-21,2022-04-01,2022-03-31,55,837.81,46079.55
