rfq_id,supplier_name,part_description,quote_date,quoted_price,lead_time_weeks,notes
RFQ-2021-001,AeroFlow Systems,Temperature Controller,2021-10-02,474.09,2,Stock item
RFQ-2021-001,Precision Thermal Co,Temperature Controller,2021-10-04,454.44,4,Standard
RFQ-2021-002,Stellar Metalworks,28 inch Fan High CFM,2021-11-03,415.45,5,Certified materials
RFQ-2021-002,Apex Manufacturing Inc,28 inch Fan High CFM,2021-11-04,372.85,4,Available
RFQ-2021-003,Precision Thermal Co,7.5HP Motor,2021-12-05,834.11,3,Available
RFQ-2021-003,TitanForge LLC,7.5HP Motor,2021-12-06,799.15,6,Industrial grade
RFQ-2022-004,Precision Thermal Co,PLC Control Module,2022-01-09,668.82,2,Available
RFQ-2022-005,Stellar Metalworks,Vibration Mount,2022-02-08,32.25,4,Balanced & tested
RFQ-2022-005,APEX MFG,Vibration Mount,2022-02-10,27.4,5,Industrial grade
RFQ-2022-006,QuickFab Industries,24 inch Axial Fan,2022-03-13,196.7,3,Low cost option
RFQ-2022-006,Apex Manufacturing Inc,24 inch Axial Fan,2022-03-15,249.78,2,Stock item
RFQ-2022-006,Stellar Metalworks,24 inch Axial Fan,2022-03-15,260.34,3,Premium construction
RFQ-2022-007,Apex Manufacturing Inc,Control Panel Enclosure,2022-04-14,244.0,3,Industrial grade
RFQ-2022-007,Stellar Metalworks,Control Panel Enclosure,2022-04-15,271.91,3,Quality guaranteed
RFQ-2022-008,Stellar Metalworks,Steel Bracket,2022-05-19,18.71,5,Premium quality
RFQ-2022-008,QuickFab Industries,Steel Bracket,2022-05-19,11.28,4,Quick turnaround
RFQ-2022-009,Apex Manufacturing Inc,28 inch Fan High CFM,2022-06-18,361.22,3,Standard
RFQ-2022-009,Stellar Metalworks,28 inch Fan High CFM,2022-06-19,416.4,3,Premium construction
RFQ-2022-010,QuickFab Industries,Aluminum Fins,2022-07-22,7.72,2,Bulk discount
RFQ-2022-010,Apex Mfg,Aluminum Fins,2022-07-22,8.35,5,Available
RFQ-2022-011,Precision Thermal Co,HEPA Filter Industrial,2022-08-22,68.65,6,Industrial grade
RFQ-2022-011,AeroFlow Systems,HEPA Filter Industrial,2022-08-23,70.54,3,Industrial grade
RFQ-2022-012,QuickFab Industries,Copper Heat Exchanger,2022-09-25,2153.54,2,Economy option
RFQ-2022-012,AeroFlow Systems,Copper Heat Exchanger,2022-09-25,2427.53,3,Standard
RFQ-2022-013,APEX MFG,Vibration Mount,2022-10-26,25.22,3,Standard lead time
RFQ-2022-013,Stellar Metalworks,Vibration Mount,2022-10-26,31.09,4,Balanced & tested
RFQ-2022-014,TitanForge LLC,Stainless Drive Shaft,2022-11-28,52.89,4,Industrial grade
RFQ-2022-014,Stellar Metalworks,Stainless Drive Shaft,2022-11-29,61.36,5,Premium quality
RFQ-2022-015,QuickFab Industries,Copper Fins Premium,2022-12-30,13.47,4,Bulk discount
RFQ-2022-015,Apex Mfg,Copper Fins Premium,2022-12-31,15.82,5,Industrial grade
RFQ-2023-016,QuickFab Industries,Aluminum Fins,2023-02-02,7.62,3,Fast delivery
RFQ-2023-016,Apex Mfg,Aluminum Fins,2023-02-02,9.25,6,Standard production
RFQ-2023-017,QuickFab Industries,Steel Bracket,2023-03-05,10.78,3,Bulk discount
RFQ-2023-017,Stellar Metalworks,Steel Bracket,2023-03-07,19.54,4,Balanced & tested
RFQ-2023-018,Precision Thermal Co,HEPA Filter Industrial,2023-04-06,65.4,3,Available
RFQ-2023-018,AeroFlow Systems,HEPA Filter Industrial,2023-04-08,71.37,5,Stock item
RFQ-2023-019,Apex Mfg,Aluminum Fins,2023-05-09,8.81,4,Standard production
RFQ-2023-019,QuickFab Industries,Aluminum Fins,2023-05-11,7.51,3,Fast delivery
RFQ-2023-020,AeroFlow Systems,Electric Damper 48 inch,2023-06-11,277.99,6,Standard
RFQ-2023-021,Apex Manufacturing Inc,Mounting Brackets,2023-07-12,12.43,5,Available
RFQ-2023-021,Stellar Metalworks,Mounting Brackets,2023-07-14,14.77,5,Balanced & tested
RFQ-2023-022,Apex Manufacturing Inc,28 inch Fan High CFM,2023-08-14,369.84,5,Standard lead time
RFQ-2023-022,Stellar Metalworks,28 inch Fan High CFM,2023-08-15,386.17,3,Premium quality
RFQ-2023-023,Apex Manufacturing Inc,HX Fins Standard,2023-09-15,9.39,2,Standard production
RFQ-2023-023,QuickFab Industries,HX Fins Standard,2023-09-16,8.05,3,Fast delivery
RFQ-2023-024,APEX MFG,Vibration Mount,2023-10-20,25.67,4,Standard
RFQ-2023-024,Stellar Metalworks,Vibration Mount,2023-10-20,31.58,3,Quality guaranteed
